Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
6,1947,"Ashview Farm, Agent ","","Authentic --- Tizasong","","B    ",Filly,"","Authentic","Tizasong","","","","","Arnmore Thoroughbreds, LLC",90000
6,1948,"Knockgriffin Farm, Agent ","","Improbable --- Tiz Blu","","DB/BR",Filly,"","Improbable","Tiz Blu","","","","","Grantley Acres",35000
6,1949,"Grovendale Sales, Agent IV ","","Omaha Beach --- Tiz Briska","","DB/BR",Filly,"","Omaha Beach","Tiz Briska","","","","","Richard Baltas, Agt. for Calvin Nguyen & Joey Tran",100000
6,1950,"Blandford Stud (Padraig Campion), Agent ","","Uncle Mo --- Tocco d'Amore (IRE)","","B",Colt,"","Uncle Mo","Tocco d'Amore (IRE)","","","","","Cushman Racing",30000
6,1951,"Warrendale Sales, Agent XXXIX ","","Mendelssohn --- Too Much Malibu","","B",Filly,"","Mendelssohn","Too Much Malibu","","","","","Oracle Bloodstock, Agent",60000
6,1952,"Hidden Brook, Agent XXXVII ","","American Pharoah --- Top Cats (ARG)","","B",Colt,"","American Pharoah","Top Cats (ARG)","","","","","R.N.A. (125,000)",---
6,1953,"Vinery Sales, Agent XXXIV ","","Mitole --- Top Performance","","B",Filly,"","Mitole","Top Performance","","","","","Cruzin Thoroughbreds LLC",20000
6,1954,"KatieRich Farms ","","Good Looking","","B",Filly,"Good Looking","Candy Ride (ARG)","Town Flirt","","","","","Out",0
6,1955,"Ballysax Bloodstock, Agent XVI ","","More Than Ready --- Trace of Grace","","DB/BR",Filly,"","More Than Ready","Trace of Grace","","","","","RiceHorse Future Star",80000
6,1956,"Ashview Farm, Agent ","","Tight Line","","B    ",Filly,"Tight Line","Constitution","Trailblazer","","","","","R.N.A. (90,000)",---
6,1957,"Taylor Made Sales Agency, Agent LVI ","","McKinzie --- Tulira's Star","","B",Filly,"","McKinzie","Tulira's Star","","","","","Out",0
6,1958,"Taylor Made Sales Agency, Agent LXVII ","","Munnings --- Two Dozen Roses","","CH",Filly,"","Munnings","Two Dozen Roses","","","","","R.N.A. (140,000)",---
6,1959,"Indian Creek, Agent for Stonestreet Bred & Raised ","","Guardian","","B",Colt,"Guardian","Constitution","Two Sixty","","","","","CHC Inc., Maverick Racing, Siena Farm & Twin Creek",575000
6,1960,"Glennwood Farm Inc., Agent ","","Mendelssohn --- Unchained (IRE)","","CH   ",Colt,"","Mendelssohn","Unchained (IRE)","","","","","Paragon Bloodstock ",22000
6,1961,"Four Star Sales, Agent ","","Street Sense --- Uptown Twirl","","DB/BR",Filly,"","Street Sense","Uptown Twirl","","","","","Out",0
6,1962,"Mulholland Springs, Agent VI ","","Prollynot","","CH",Colt,"Prollynot","Improbable","Vagabond Princess","","","","","John Ennis, Agent for Silverton Hill",50000
6,1963,"Taylor Made Sales Agency, Agent for Stonestreet Bred & Raised","","Twirling Candy --- Valuable Package","","B    ",Filly,"","Twirling Candy","Valuable Package","","","","","Pedro Maestre",60000
6,1964,"Glennwood Farm Inc., Agent ","","Oscar Performance --- Vivo Per Lei","","B",Filly,"","Oscar Performance","Vivo Per Lei","","","","","R.N.A. (35,000)",---
6,1965,"St George Sales, Agent XXXVII ","","Nyquist --- Voting Agreement","","CH",Filly,"","Nyquist","Voting Agreement","","","","","Out",0
7,1966,"Stonehaven Steadings ","","Gotanothathingcomn","","DB/BR",Filly,"Gotanothathingcomn","Twirling Candy","Walloon","","","","","Dubb / Elkstone / Farr",150000
7,1967,"Machmer Hall Sales, Agent XII ","","Volatile --- Warmley","","B",Filly,"","Volatile","Warmley","","","","","Three Ways Bloodstock",75000
7,1968,"Scott Mallory, Agent XIII ","","High Class Lady","","B",Filly,"High Class Lady","Thousand Words","Whataclassylady","","","","","Brady Lund",30000
7,1969,"Lane's End, Agent ","","Constitution --- Whatdreamsrmadeof","","CH",Filly,"","Constitution","Whatdreamsrmadeof","","","","","Bradley Thoroughbreds LLC, Agent",160000
7,1970,"Hill 'n' Dale at Xalapa, Agent ","","Good Magic --- Win McCool","","CH",Filly,"","Good Magic","Win McCool","","","","","Bo Bromagen, Agent",160000
7,1971,"Castle Park Farm LLC (Noel Murphy), Agent II ","","To the Chief","","DB/BR",Colt,"To the Chief","Global Campaign","Worth a Chance Mo","","","","","Robert & Dana Salome",100000
7,1972,"Taylor Made Sales Agency, Agent CXVI ","","Practical Joke --- W W American","","B",Colt,"","Practical Joke","W W American","","","","","Out",0
7,1973,"Lane's End, Agent for Coteau Grove Farms ","","McKinzie --- You Laughin","","B",Filly,"","McKinzie","You Laughin","","","","","Nice Guys Stables, LLC",45000
7,1974,"Runnymede Farm LLC, Agent ","","Sister Marjorie","","B",Filly,"Sister Marjorie","Catholic Boy","Zarmella (FR)","","","","","Robert Bates",50000
7,1975,"Taylor Made Sales Agency, Agent CXIV ","","Chattanooga Crew","","CH",Filly,"Chattanooga Crew","Catalina Cruiser","Zelda Can Dance","","","","","Kenneth McPeek, Agent",50000
7,1976,"Taylor Made Sales Agency, Agent CXXIII ","","More Than Ready --- A Better Breeze","","B",Filly,"","More Than Ready","A Better Breeze","","","","","Out",0
7,1977,"Eaton Sales, Agent ","","Munnings --- Able to Smile","","B",Filly,"","Munnings","Able to Smile","","","","","Out",0
7,1978,"Pope McLean (Crestwood Farm), Agent X ","","Vekoma --- Accapella Bella","","CH",Filly,"","Vekoma","Accapella Bella","","","","","Maddie Mattmiller, Agent",45000
7,1979,"Castle Park Farm LLC (Noel Murphy), Agent XX ","","Daiquiri Sommelier","","DB/BR",Colt,"Daiquiri Sommelier","Global Campaign","Acquainted","","","","","Al Stall, Jr.",75000
7,1980,"Lane's End, Agent ","","Long Acting","","B",Colt,"Long Acting","War of Will","Adorable Miss","","","","","R.N.A. (45,000)",---
7,1981,"Hunter Valley Farm, Agent ","","My Bossy Lady","","CH",Filly,"My Bossy Lady","Street Boss","Afsaneh","","","","","Andrew McKeever, Agt. for ROHA Stables",30000
7,1982,"Terrazas Thoroughbreds, Agent I ","","Army Mule --- Aimone","","B",Filly,"","Army Mule","Aimone","","","","","Lindy Farms",110000
7,1983,"Highgate Sales, Agent IV ","","Canyahearmeknockin","","CH",Colt,"Canyahearmeknockin","Audible","All About Allison","","","","","Radley Equine/Boomer Bloodstock",70000
7,1984,"Highgate Sales, Agent XXXV ","","Honest Mischief --- All in Time","","B    ",Filly,"","Honest Mischief","All in Time","","","","","Blue Dog Racing, LLC",25000
7,1985,"Dixiana Farms LLC ","","Practical Joke --- Always Right","","DB/BR",Filly,"","Practical Joke","Always Right","","","","","Royal Flush Racing",85000
7,1986,"Claiborne Farm, Agent ","","Forever Trouble","","B",Filly,"Forever Trouble","Nyquist","Always Trouble","","","","","Out",0
7,1987,"Hill 'n' Dale at Xalapa, Agent ","","Fahudi","","B",Colt,"Fahudi","Good Magic","Amatara","","","","","Almousa Stable",100000
7,1988,"Penn Sales, Agent for George Gilbert ","","Caravaggio --- Ambleside Park","","B    ",Colt,"","Caravaggio","Ambleside Park","","","","","Blu Boy Racing Stable LLC",30000
7,1989,"Eaton Sales, Agent ","","Flatter --- Amiens","","B",Filly,"","Flatter","Amiens","","","","","Jose Gaspar",25000
7,1990,"Denali Stud, Agent XIV ","","Kantharos --- Amurmar (IRE)","","CH",Filly,"","Kantharos","Amurmar (IRE)","","","","","The True Farm",17000
7,1991,"Bluewater Sales LLC, Agent XV ","","Dirty Joke","","CH",Colt,"Dirty Joke","Practical Joke","Andromaque","","","","","Bob Grayson Jr.",70000
7,1992,"Taylor Made Sales Agency, Agent LVI ","","Una Momento","","B",Filly,"Una Momento","Union Rags","And She's Gone","","","","","Nadir Khassanov",22000
7,1993,"Bluewater Sales LLC, Agent II ","","Pierce Elevated","","DB/BR",Colt,"Pierce Elevated","Classic Empire","Annapolis Class","","","","","R.N.A. (32,000)",---
7,1994,"Hill 'n' Dale at Xalapa, Agent ","","Good Magic --- Antonina (PER)","","CH",Filly,"","Good Magic","Antonina (PER)","","","","","DTNW Sales",45000
7,1995,"Denali Stud, Agent XLI ","","Hard Spun --- Anythingyoucando","","DB/BR",Filly,"","Hard Spun","Anythingyoucando","","","","","Marc A. Wampler, Agent for Pocket Aces Racing",15000
7,1996,"Highgate Sales, Agent XV ","","Improbable --- Appealing Maggie","","B",Filly,"","Improbable","Appealing Maggie","","","","","CM Thoroughbreds",15000
7,1997,"Summerfield (Francis and Barbara Vanlangendonck), Agent for Stonecliff Farm","","Bolt d'Oro --- Appealing Stella","","DB/BR",Filly,"","Bolt d'Oro","Appealing Stella","","","","","Elena Racing Inc.",80000
7,1998,"Hill 'n' Dale at Xalapa, Agent ","","Cannon","","B",Colt,"Cannon","Maclean's Music","Appearance","","","","","William Martin",70000
7,1999,"Gainesway, Agent XX ","","Good Magic --- Arania","","B",Filly,"","Good Magic","Arania","","","","","PDK Bloodstock",19000
7,2000,"Terrazas Thoroughbreds, Agent III ","","Battleshipper","","GR/RO",Filly,"Battleshipper","Midshipman","Arusha","","","","","Doug Anderson",40000
7,2001,"Taylor Made Sales Agency, Agent CLXII ","","Baytown Butterfly","","B    ",Filly,"Baytown Butterfly","Omaha Beach","Atala","","","","","Baytown Partnerships",10000
7,2002,"Eaton Sales, Agent ","","Derek's Law","","CH",Colt,"Derek's Law","Tiz the Law","Autumn Wedding","","","","","Mike McLoughlin",120000
7,2003,"Eaton Sales, Agent ","","Music Man","","B",Colt,"Music Man","Maclean's Music","Awesome Diamond (IRE)","","","","","R.N.A. (35,000)",---
7,2004,"Denali Stud, Agent XX ","","Twirling Candy --- Awesome One","","DB/BR",Filly,"","Twirling Candy","Awesome One","","","","","R.N.A. (45,000)",---
7,2005,"Denali Stud, Agent for Bridlewood Farm ","","Legitimate","","DB/BR",Colt,"Legitimate","Authentic","Azara","","","","","Amerman Racing",190000
7,2006,"Hartwell Farm, Agent I ","","I Got Game","","CH",Colt,"I Got Game","Game Winner","Baby Nina","","","","","Tom Amoss, Agent",130000
7,2007,"Castle Park Farm LLC (Noel Murphy), Agent III ","","Violence --- Banshee Birdie","","CH",Filly,"","Violence","Banshee Birdie","","","","","Out",0
7,2008,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent I ","","Mikkisonthinice","","GR/RO",Filly,"Mikkisonthinice","The Factor","Beat the Street","","","","","Robert & Dana Salome",75000
7,2009,"Gainesway, Agent XLV ","","Voldemort","","B",Colt,"Voldemort","Good Magic","Beauty Buzz","","","","","Donato Lanni, Agt. for SF/Starlight/Madaket",700000
7,2010,"Lane's End, Agent ","","The Chalk","","CH",Colt,"The Chalk","Improbable","Been Studying Her","","","","","Wayne R. Sanders/Kat Kirk",70000
7,2011,"Taylor Made Sales Agency, Agent XXXIII ","","Jeweled City","","B",Filly,"Jeweled City","City of Light","Be Jeweled","","","","","Shepherd Equine Advisers, Agent for Larry Hirsch",100000
7,2012,"Gainesway, Agent XXXVII ","","Vekoma --- Bella Alicita","","B",Filly,"","Vekoma","Bella Alicita","","","","","Madel Consuelo Gonzalez",15000
7,2013,"Denali Stud, Agent XXIX ","","Uncle Mo --- Bellavais","","B",Filly,"","Uncle Mo","Bellavais","","","","","Mustang Farms",100000
7,2014,"Lane's End, Agent ","","Mattinata","","DB/BR",Filly,"Mattinata","Daredevil","Belletta","","","","","Summit Equine LLC",20000
7,2015,"Scott Mallory, Agent for Determined Stud ","","Nyquist --- Benvenutta","","DB/BR",Colt,"","Nyquist","Benvenutta","","","","","Marette Farrell, Agent",130000
7,2016,"Garrencasey Sales LLC, Agent I ","","Low Key","","B",Filly,"Low Key","Bolt d'Oro","Bernarda","","","","","Joel Politi",90000
7,2017,"Runnymede Farm LLC, Agent ","","Volatile --- Betty Draper","","B",Filly,"","Volatile","Betty Draper","","","","","Elena Racing Inc.",210000
7,2018,"Bedouin Bloodstock, Agent IX ","","Higher Power --- Bettyfromtheblock","","GR/RO",Colt,"","Higher Power","Bettyfromtheblock","","","","","Saffie Joseph",70000
7,2019,"Gainesway, Agent XXXI ","","Tom's d'Etat --- Bitty Kitty","","CH",Filly,"","Tom's d'Etat","Bitty Kitty","","","","","Fugget About It Racing Stable",95000
7,2020,"Eaton Sales, Agent ","","Randi Randi Randi","","B",Filly,"Randi Randi Randi","Laoban","Blessed Union","","","","","Greg Kerswill",40000
7,2021,"Gainesway, Agent XX ","","Square Baby","","B",Filly,"Square Baby","Street Sense","Blind Pool","","","","","Magic Carpet Racing",30000
7,2022,"Brandywine Farm (Jim & Pam Robinson) ","","Gimme Gray","","GR/RO",Colt,"Gimme Gray","Improbable","Blizzard Beach","","","","","Albatross Racing",55000
7,2023,"Gainesway, Agent XXX ","","Naval Hospital","","DB/BR",Filly,"Naval Hospital","McKinzie","Blueeyesintherein","","","","","D.J. Stable, LLC",70000
7,2024,"Gainesway, Agent XXX ","","Mac and Cheese","","B",Filly,"Mac and Cheese","McKinzie","Blue Moonrise","","","","","West Bloodstock",37000
7,2025,"Denali Stud, Agent IX ","","Acousticat","","DB/BR",Filly,"Acousticat","Maclean's Music","Bonita Cat","","","","","Ben Sam Stable",45000
7,2026,"Taylor Made Sales Agency, Agent LVI ","","Mitole --- Bonneville Flats","","B",Colt,"","Mitole","Bonneville Flats","","","","","Calumet Farm",90000
7,2027,"Trackside Farm (Tom Evans), Agent III ","","Bolt d'Oro --- Bonnie Arch","","B",Colt,"","Bolt d'Oro","Bonnie Arch","","","","","Lauren Carlisle, Agent",150000
7,2028,"Gainesway, Agent III ","","Bayou Pharoah","","B",Colt,"Bayou Pharoah","American Pharoah","Bow Bells","","","","","Pin Oak Stud",180000
7,2029,"Hunter Valley Farm, Agent ","","Thousand Words --- Brave Michelle","","B",Colt,"","Thousand Words","Brave Michelle","","","","","Country Club Investments",45000
7,2030,"Taylor Made Sales Agency, Agent XCV ","","Spamalot","","B",Colt,"Spamalot","Audible","Broadway Lullaby","","","","","R.N.A. (75,000)",---
7,2031,"Gainesway, Agent XXV ","","Improbable --- Brunette Princess","","B",Filly,"","Improbable","Brunette Princess","","","","","AB Thoroughbreds",15000
7,2032,"Greenfield Farms, Agent for Sierra Farm ","","Nyquist --- Bsharpsonata","","B",Colt,"","Nyquist","Bsharpsonata","","","","","Team Penney Racing LLC",120000
7,2033,"Gainesway, Agent XXXIII ","","Warrior Wayne","","B",Colt,"Warrior Wayne","War of Will","Bunairgead (IRE)","","","","","Kenneth McPeek, Agent",100000
7,2034,"Denali Stud, Agent XXIV ","","Volatile --- Burning Brow","","GR/RO",Colt,"","Volatile","Burning Brow","","","","","Out",0
7,2035,"Hunter Valley Farm, Agent ","","Mitole --- But for Money","","DB/BR",Colt,"","Mitole","But for Money","","","","","Out",0
7,2036,"Summerfield (Francis and Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised","","More Than Ready --- Cambria","","B",Colt,"","More Than Ready","Cambria","","","","","Dan Blacker Racing / Boomer Bloodstock",180000
7,2037,"Lane's End, Agent ","","Candy Quest","","DB/BR",Filly,"Candy Quest","Connect","Candy Crush","","","","","Glassman Racing LLC",225000
7,2038,"Runnymede Farm LLC, Agent ","","Complexity --- Caroline County","","B",Filly,"","Complexity","Caroline County","","","","","WLC Stables",30000
7,2039,"Hill 'n' Dale at Xalapa, Agent ","","Ghostzapper --- Cascading","","DB/BR",Colt,"","Ghostzapper","Cascading","","","","","Chad Schumer, Agent",70000
7,2040,"Taylor Made Sales Agency, Agent LXXXVIII ","","Malibu Moon --- Cash Is Queen","","B",Filly,"","Malibu Moon","Cash Is Queen","","","","","Glynn Puryear, Jr.",55000
7,2041,"Gainesway, Agent for Bonne Chance Farm, LLC ","","Metrics Matter","","B",Colt,"Metrics Matter","Nyquist","Casting Director","","","","","John Ballantyne/NBS Stable",250000
7,2042,"Claiborne Farm, Agent ","","Frosted --- Casus Belli","","GR/RO",Filly,"","Frosted","Casus Belli","","","","","R.N.A. (30,000)",---
7,2043,"Bedouin Bloodstock, Agent III ","","Irish Rebel","","GR/RO",Colt,"Irish Rebel","Liam's Map","Causara","","","","","CA Racing Partners",70000
7,2044,"Hunter Valley Farm, Agent ","","Frosty Beer","","GR/RO",Colt,"Frosty Beer","Frosted","Cebu","","","","","Bob Grayson Jr.",70000
7,2045,"Bill Murphy, Agent I ","","Munnings --- Celtic Summer","","B",Filly,"","Munnings","Celtic Summer","","","","","R.N.A. (55,000)",---
7,2046,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent X ","","McKinzie --- Chambray","","B",Filly,"","McKinzie","Chambray","","","","","Daniela Boyd",50000
7,2047,"Highgate Sales, Agent XVII ","","Frosted Charlie","","DB/BR",Colt,"Frosted Charlie","Frosted","Charlie A","","","","","Black Dog Racing",130000
7,2048,"Claiborne Farm, Agent ","","War of Will --- Chastise","","B    ",Colt,"","War of Will","Chastise","","","","","Andy Simoff, Agent for Norm Rader",60000
7,2049,"Clarkland Farm, LLC ","","Bolt d'Oro --- Chateau Hope","","DB/BR",Filly,"","Bolt d'Oro","Chateau Hope","","","","","Ronnie Edmondson",60000
7,2050,"Hill 'n' Dale at Xalapa, Agent ","","Ghostzapper --- Cheery Oats","","CH",Colt,"","Ghostzapper","Cheery Oats","","","","","Albaugh Family Stables / Donegal Racing",340000
7,2051,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Smokin' Heels","","B",Filly,"Smokin' Heels","Outwork","Chelan Echo","","","","","Baccari Bloodstock for D W F",260000
7,2052,"Bedouin Bloodstock, Agent V ","","Naklonchik","","DB/BR",Colt,"Naklonchik","Good Magic","Chestnut Grove","","","","","Glockenburg Holdings Anstalt",70000
7,2053,"Hill 'n' Dale at Xalapa, Agent ","","Twirling Candy --- Chiffon","","GR/RO",Colt,"","Twirling Candy","Chiffon","","","","","Deuce Greathouse, Agent for Pura Vida Investments",230000
7,2054,"Machmer Hall Sales, Agent for Machmer Hall ","","Flatter --- Chilly Fashion","","DB/BR",Colt,"","Flatter","Chilly Fashion","","","","","Lynn Boutte, Agent for Black Swan Stable",35000
7,2055,"Hunter Valley Farm, Agent ","","Plinko Chip","","DB/BR",Filly,"Plinko Chip","Mitole","Christmas Ship","","","","","John Mentz",82000
7,2056,"Taylor Made Sales Agency, Agent XXX ","","Not This Time --- Clipthecouponannie","","B",Filly,"","Not This Time","Clipthecouponannie","","","","","Out",0
7,2057,"Frankfort Park Farm, Agent ","","Not This Time --- Cloudy Dancer (GB)","","B",Colt,"","Not This Time","Cloudy Dancer (GB)","","","","","MC Bloodstock",62000
7,2058,"Highgate Sales, Agent V ","","He's Not Joking","","B",Colt,"He's Not Joking","Practical Joke","Collegeville Girl","","","","","John Di Scola",105000
7,2059,"Gainesway, Agent for Bridlewood Farm ","","Not This Time --- Completed","","B",Colt,"","Not This Time","Completed","","","","","Old Gables",240000
7,2060,"Taylor Made Sales Agency, Agent CXLIII ","","Improbable --- Confirmation Bias","","B",Filly,"","Improbable","Confirmation Bias","","","","","Grassroots Training & Sales LLC",25000
7,2061,"Bill Murphy, Agent VI ","","Tiz the Law --- Conquest Strate Up","","DB/BR",Colt,"","Tiz the Law","Conquest Strate Up","","","","","Out",0
7,2062,"Legacy Bloodstock, Agent III ","","Ghostzapper --- Conquest Vivi","","DB/BR",Filly,"","Ghostzapper","Conquest Vivi","","","","","Crescent Capital, LLC",110000
7,2063,"Eaton Sales, Agent ","","Audible --- Consecrate","","DB/BR",Filly,"","Audible","Consecrate","","","","","Anthony Farrior",47000
7,2064,"Glen Hill Farm ","","Ghostzapper --- Consulting","","CH",Filly,"","Ghostzapper","Consulting","","","","","Quarter Pole Enterprises LLC",185000
7,2065,"Gainesway, Agent XXXVII ","","Shore Lodge","","B",Filly,"Shore Lodge","Omaha Beach","Conway Two Step","","","","","Jason Hall",20000
7,2066,"Gainesway, Agent XXX ","","Bow Tie Toby","","B",Colt,"Bow Tie Toby","McKinzie","Courtisane (ARG)","","","","","Kenneth McPeek, Agent",75000
7,2067,"Machmer Hall Sales, Agent for Grey Dawn Stables et al. I ","","Gift Box --- Cry the Blues","","GR/RO",Filly,"","Gift Box","Cry the Blues","","","","","Grassroots Training & Sales LLC",22000
7,2068,"Stonehaven Steadings ","","Game Winner --- Curry Cat","","CH",Colt,"","Game Winner","Curry Cat","","","","","Matthew Kosco",30000
7,2069,"Denali Stud, Agent XXXII ","","Nyquist --- Curuzu","","CH",Colt,"","Nyquist","Curuzu","","","","","Kindred LLC",210000
7,2070,"Havens Bloodstock Agency, Inc., Agent ","","Authentic --- Dakota Queen","","B",Colt,"","Authentic","Dakota Queen","","","","","Fast Horses LLC",70000
7,2071,"Hill 'n' Dale at Xalapa, Agent ","","Hollywood Writer","","B    ",Colt,"Hollywood Writer","Honor A. P.","Dance Costume","","","","","R.N.A. (90,000)",---
7,2072,"Taylor Made Sales Agency, Agent LXXXII ","","Social Code","","DB/BR",Filly,"Social Code","Constitution","Davida","","","","","Shirley Camilleri",15000
7,2073,"Woods Edge Farm (Peter O'Callaghan), Agent II ","","Global Campaign --- Dazzler","","B",Filly,"","Global Campaign","Dazzler","","","","","Gregory Martin",50000
7,2074,"Hill 'n' Dale at Xalapa, Agent ","","Authentic --- D'cats Meow","","B",Colt,"","Authentic","D'cats Meow","","","","","Maoz Stable",180000
7,2075,"Runnymede Farm LLC, Agent ","","Omaha Beach --- Dearest Ella","","B",Filly,"","Omaha Beach","Dearest Ella","","","","","R.N.A. (27,000)",---
7,2076,"Claiborne Farm, Agent ","","Bedford the Brave","","B    ",Filly,"Bedford the Brave","Omaha Beach","Delgany","","","","","Ali Fyfe Racing",85000
7,2077,"Eaton Sales, Agent ","","Maclean's Music --- Denied","","B",Colt,"","Maclean's Music","Denied","","","","","Out",0
7,2078,"Hill 'n' Dale at Xalapa, Agent ","","Ghostzapper --- Desert Isle","","DB/BR",Colt,"","Ghostzapper","Desert Isle","","","","","Belladonna Racing VI, Cherie DeVaux, Agent",50000
7,2079,"Hunter Valley Farm, Agent ","","Primrose Path","","B",Filly,"Primrose Path","Mendelssohn","Destiny Unbound (IRE)","","","","","R.N.A. (17,000)",---
7,2080,"Upson Downs Farm, Agent II ","","Master of Light","","GR/RO",Colt,"Master of Light","Caravaggio","Dictate Cool","","","","","Ed Vaughan, Agent",55000
7,2081,"Darby Dan Farm, Agent I ","","Eanaig","","B",Filly,"Eanaig","Dialed In","Dillingham","","","","","Ahmad Alabdullatif, Agent",50000
7,2082,"Gainesway, Agent VIII ","","Classic Empire --- Dixie Strike","","B",Filly,"","Classic Empire","Dixie Strike","","","","","T.M.C.",30000
7,2083,"Legacy Bloodstock, Agent XXI ","","Lady of Light","","B",Filly,"Lady of Light","City of Light","D J's Favorite","","","","","Triple V Racing LLC",30000
7,2084,"Eaton Sales, Agent ","","Collected --- Dreamcall","","CH   ",Colt,"","Collected","Dreamcall","","","","","BMF, Inc.",62000
7,2085,"Runnymede Farm LLC, Agent ","","Daredevil --- Dr. Melfi","","BLK",Filly,"","Daredevil","Dr. Melfi","","","","","R.N.A. (27,000)",---
7,2086,"Gainesway, Agent XXXVII ","","Bring an Alibi","","GR/RO",Colt,"Bring an Alibi","Volatile","Efforting","","","","","Out",0
7,2087,"Eaton Sales, Agent ","","Hard Spun --- Elusive Bae","","B",Filly,"","Hard Spun","Elusive Bae","","","","","R.N.A. (27,000)",---
7,2088,"Eaton Sales, Agent ","","Bolt d'Oro --- Elusive Champagne","","B",Filly,"","Bolt d'Oro","Elusive Champagne","","","","","R.N.A. (95,000)",---
7,2089,"Hill 'n' Dale at Xalapa, Agent ","","Implacable","","DB/BR",Colt,"Implacable","Violence","Elusive Collection","","","","","Ilium Stable, LLC",125000
7,2090,"Machmer Hall Sales, Agent for Machmer Hall I ","","Game Winner --- Embur's Song","","CH",Colt,"","Game Winner","Embur's Song","","","","","R.N.A. (75,000)",---
7,2091,"Lane's End, Agent ","","Vekoma --- Empire Angel","","CH",Filly,"","Vekoma","Empire Angel","","","","","Global Racing LLC",60000
7,2092,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Syds Warrior","","B",Colt,"Syds Warrior","Hard Spun","Equation","","","","","Gayle Van Leer, Agent",130000
7,2093,"Dixiana Farms LLC ","","War of Will --- Escampette","","DB/BR",Colt,"","War of Will","Escampette","","","","","A. Al Hamad",65000
7,2094,"Taylor Made Sales Agency, Agent LXXI ","","Mendelssohn --- Evasive Storm","","DB/BR",Colt,"","Mendelssohn","Evasive Storm","","","","","Triple SSS Equine",15000
7,2095,"Claiborne Farm, Agent ","","Street Lass","","B    ",Filly,"Street Lass","Street Sense","Fair Point","","","","","Chapman and Tsujimoto",11000
7,2096,"Denali Stud, Agent for Spendthrift Farm LLC ","","Fine Vino","","CH",Colt,"Fine Vino","Vino Rosso","Fairy Star (AUS)","","","","","Frank Mancari",120000
7,2097,"Hunter Valley Farm, Agent ","","Practical Joke --- Feisty Tomboy","","GR/RO",Filly,"","Practical Joke","Feisty Tomboy","","","","","First Finds",70000
7,2098,"Machmer Hall Sales, Agent for Machmer Hall ","","Kantharos --- Field of Flowers","","CH   ",Filly,"","Kantharos","Field of Flowers","","","","","Anthony Farrior",45000
7,2099,"Summerfield (Francis and Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised","","Curlin --- Fiftyshadesofhay","","CH   ",Colt,"","Curlin","Fiftyshadesofhay","","","","","First Finds",95000
7,2100,"Taylor Made Sales Agency, Agent LXXI ","","Ashgar Desert","","CH",Colt,"Ashgar Desert","Mendelssohn","Fire On High","","","","","Nuh Bachaer",15000
7,2101,"Taylor Made Sales Agency, Agent CLXVIII ","","Comininalittlehot","","DB/BR",Colt,"Comininalittlehot","Laoban","First Romance","","","","","Donato Lanni, Agent",120000
7,2102,"Lane's End, Agent ","","Honor A. P. --- First Salute","","B",Filly,"","Honor A. P.","First Salute","","","","","Silverton Hill LLC",80000
7,2103,"Lane's End, Agent ","","Game Winner --- First Wave","","GR/RO",Filly,"","Game Winner","First Wave","","","","","CM Thoroughbreds",17000
7,2104,"Gainesway, Agent XXX ","","McKinzie --- Fleur de Cerise","","DB/BR",Filly,"","McKinzie","Fleur de Cerise","","","","","Team Penney Racing LLC",150000
7,2105,"Summerfield (Francis and Barbara Vanlangendonck), Agent VII ","","McKinzie --- Flirting With Fate","","BLK",Filly,"","McKinzie","Flirting With Fate","","","","","Out",0
7,2106,"Rosilyn Polan (Sunday Morning Farm) ","","Improbable --- Floral Sky","","CH",Colt,"","Improbable","Floral Sky","","","","","Triple M Racing Stable",60000
7,2107,"Scott Mallory, Agent for Buena Madera ","","Volatile --- Florida Sun","","GR/RO",Filly,"","Volatile","Florida Sun","","","","","Luis M. Ramirez, Agent",80000
7,2108,"Denali Stud, Agent for WinStar Farm Bred & Raised ","","Stone Cold Kelly","","DB/BR",Filly,"Stone Cold Kelly","Laoban","Fly the Flag","","","","","HYTECK Racing LLC",150000
7,2109,"Frankfort Park Farm, Agent ","","Game Winner --- Forever Vow","","GR/RO",Filly,"","Game Winner","Forever Vow","","","","","Hat Creek",100000
7,2110,"Hill 'n' Dale at Xalapa, Agent ","","Kantharos --- Free Rein","","CH",Colt,"","Kantharos","Free Rein","","","","","Chad Schumer, Agent",52000
7,2111,"Penn Sales, Agent for Bar C Racing Stables ","","Victoria's Rocket","","GR/RO",Colt,"Victoria's Rocket","Om","Fresia","","","","","Alistair Roden, Agent",90000
7,2112,"Hill 'n' Dale at Xalapa, Agent ","","Gucci Vision","","B",Colt,"Gucci Vision","Violence","Frippery","","","","","HYTECK Racing LLC",90000
7,2113,"Lane's End, Agent ","","Game Winner --- Funny Feeling","","DB/BR",Filly,"","Game Winner","Funny Feeling","","","","","Peter Deutsch",130000
